,index,authors,average_rating,best_book_id,book_id,books_count,description,genres,goodreads_book_id,image_url,isbn,isbn13,language_code,original_publication_year,original_title,pages,publishDate,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,ratings_count,small_image_url,title,work_id,work_ratings_count,work_text_reviews_count,authors_2
0,0,['Suzanne Collins'],4.34,2767052,1,272,"WINNING MEANS FAME AND FORTUNE.LOSING MEANS CERTAIN DEATH.THE HUNGER GAMES HAVE BEGUN. . . .In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and once girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before—and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.","['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",2767052,https://images.gr-assets.com/books/1447303603m/2767052.jpg,439023483,9780439023480.0,eng,2008.0,The Hunger Games,374.0,09/14/08,66715,127936,560092,1481305,2706317,4780653,https://images.gr-assets.com/books/1447303603s/2767052.jpg,"The Hunger Games (The Hunger Games, #1)",2792775,4942365,155254,['Suzanne Collins']
1,1,"['J.K. Rowling', 'Mary GrandPré']",4.44,3,2,491,"Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry.Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined.Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come.","['fantasy', 'fiction', 'young-adult', 'classics']",3,https://images.gr-assets.com/books/1474154022m/3.jpg,439554934,9780439554930.0,eng,1997.0,Harry Potter and the Philosopher's Stone,309.0,11/01/03,75504,101676,455024,1156318,3011543,4602479,https://images.gr-assets.com/books/1474154022s/3.jpg,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4640799,4800065,75867,"['J.K. Rowling', 'Mary GrandPré']"
2,2,['Stephenie Meyer'],3.57,41865,3,226,"About three things I was absolutely positive.

First, Edward was a vampire.

Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.

And third, I was unconditionally and irrevocably in love with him.

Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.","['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']",41865,https://images.gr-assets.com/books/1361039443m/41865.jpg,316015849,9780316015840.0,eng,2005.0,Twilight,501.0,09/06/06,456191,436802,793319,875073,1355439,3866839,https://images.gr-assets.com/books/1361039443s/41865.jpg,"Twilight (Twilight, #1)",3212258,3916824,95009,['Stephenie Meyer']
3,3,['Harper Lee'],4.25,2657,4,487,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.","['classics', 'fiction', 'historical-fiction', 'young-adult']",2657,https://images.gr-assets.com/books/1361975680m/2657.jpg,61120081,9780061120080.0,eng,1960.0,To Kill a Mockingbird,324.0,05/23/06,60427,117415,446835,1001952,1714267,3198671,https://images.gr-assets.com/books/1361975680s/2657.jpg,To Kill a Mockingbird,3275794,3340896,72586,['Harper Lee']
4,4,['F. Scott Fitzgerald'],3.89,4671,5,1356,"Alternate Cover Edition ISBN: 0743273567 (ISBN13: 9780743273565)The Great Gatsby, F. Scott Fitzgerald's third book, stands as the supreme achievement of his career. This exemplary novel of the Jazz Age has been acclaimed by generations of readers. The story is of the fabulously wealthy Jay Gatsby and his new love for the beautiful Daisy Buchanan, of lavish parties on Long Island at a time when The New York Times noted ""gin was the national drink and sex the national obsession,"" it is an exquisitely crafted tale of America in the 1920s.The Great Gatsby is one of the great classics of twentieth-century literature.(back cover)","['classics', 'fiction', 'historical-fiction', 'romance']",4671,https://images.gr-assets.com/books/1490528560m/4671.jpg,743273567,9780743273560.0,eng,1925.0,The Great Gatsby,200.0,09/28/04,86236,197621,606158,936012,947718,2683664,https://images.gr-assets.com/books/1490528560s/4671.jpg,The Great Gatsby,245494,2773745,51992,['F. Scott Fitzgerald']
5,5,['John Green'],4.26,11870085,6,226,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love.","['young-adult', 'romance', 'fiction', 'contemporary']",11870085,https://images.gr-assets.com/books/1360206420m/11870085.jpg,525478817,9780525478810.0,eng,2012.0,The Fault in Our Stars,313.0,01/10/12,47994,92723,327550,698471,1311871,2346404,https://images.gr-assets.com/books/1360206420s/11870085.jpg,The Fault in Our Stars,16827462,2478609,140739,['John Green']
6,6,['J.R.R. Tolkien'],4.25,5907,7,969,"In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.Written for J.R.R. Tolkien’s own children, The Hobbit met with instant critical acclaim when it was first published in 1937. Now recognized as a timeless classic, this introduction to the hobbit Bilbo Baggins, the wizard Gandalf, Gollum, and the spectacular world of Middle-earth recounts of the adventures of a reluctant hero, a powerful and dangerous ring, and the cruel dragon Smaug the Magnificent. The text in this 372-page paperback edition is based on that first published in Great Britain by Collins Modern Classics (1998), and includes a note on the text by Douglas A. Anderson (2001).","['fantasy', 'classics', 'fiction', 'young-adult']",5907,https://images.gr-assets.com/books/1372847500m/5907.jpg,618260307,9780618260300.0,eng,1937.0,The Hobbit or There and Back Again,366.0,08/15/02,46023,76784,288649,665635,1119718,2071616,https://images.gr-assets.com/books/1372847500s/5907.jpg,The Hobbit,1540236,2196809,37653,['J.R.R. Tolkien']
7,7,['J.D. Salinger'],3.79,5107,8,360,"The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices-but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep. J.D. Salinger's classic novel of teenage angst and rebellion was first published in 1951. The novel was included on Time's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.","['classics', 'fiction', 'young-adult']",5107,https://images.gr-assets.com/books/1398034300m/5107.jpg,316769177,9780316769170.0,eng,1951.0,The Catcher in the Rye,277.0,01/30/01,109383,185520,455042,661516,709176,2044241,https://images.gr-assets.com/books/1398034300s/5107.jpg,The Catcher in the Rye,3036731,2120637,44920,['J.D. Salinger']
8,8,['Dan Brown'],3.85,960,9,311,"World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss research facility to analyze a cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. In a desperate race to save the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra. Together they embark on a frantic hunt through sealed crypts, dangerous catacombs, and deserted cathedrals, and into the depths of the most secretive vault on earth...the long-forgotten Illuminati lair.(back cover)","['fiction', 'mystery', 'thriller', 'suspense', 'crime', 'historical-fiction']",960,https://images.gr-assets.com/books/1303390735m/960.jpg,1416524797,9781416524790.0,eng,2000.0,Angels & Demons ,736.0,04/01/06,77841,145740,458429,716569,680175,2001311,https://images.gr-assets.com/books/1303390735s/960.jpg,"Angels & Demons  (Robert Langdon, #1)",3338963,2078754,25112,['Dan Brown']
9,9,['Jane Austen'],4.24,1885,10,3455,"Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.","['classics', 'fiction', 'romance', 'historical-fiction']",1885,https://images.gr-assets.com/books/1320399351m/1885.jpg,679783261,9780679783270.0,eng,1813.0,Pride and Prejudice,279.0,10/10/00,54700,86485,284852,609755,1155673,2035490,https://images.gr-assets.com/books/1320399351s/1885.jpg,Pride and Prejudice,3060926,2191465,49152,['Jane Austen']
10,10,['Khaled Hosseini'],4.26,77203,11,283,"The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, The Kite Runner is a beautifully crafted novel set in a country that is in the process of being destroyed. It is about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.A sweeping story of family, love, and friendship told against the devastating backdrop of the history of Afghanistan over the last thirty years, The Kite Runner is an unusual and powerful novel that has become a beloved, one-of-a-kind classic.--khaledhosseini.com","['fiction', 'historical-fiction', 'contemporary', 'classics']",77203,https://images.gr-assets.com/books/1484565687m/77203.jpg,1594480001,9781594480000.0,eng,2003.0,The Kite Runner ,371.0,05/28/04,34288,59980,226062,628174,929591,1813044,https://images.gr-assets.com/books/1484565687s/77203.jpg,The Kite Runner,3295919,1878095,59730,['Khaled Hosseini']
11,11,['Veronica Roth'],4.24,13335037,12,210,"In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself.During the highly competitive initiation that follows, Beatrice renames herself Tris and struggles alongside her fellow initiates to live out the choice they have made. Together they must undergo extreme physical tests of endurance and intense psychological simulations, some with devastating consequences. As initiation transforms them all, Tris must determine who her friends really are—and where, exactly, a romance with a sometimes fascinating, sometimes exasperating boy fits into the life she's chosen. But Tris also has a secret, one she's kept hidden from everyone because she's been warned it can mean death. And as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society, she also learns that her secret might help her save those she loves . . . or it might destroy her.","['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",13335037,https://images.gr-assets.com/books/1328559506m/13335037.jpg,62024035,9780062024040.0,eng,2011.0,Divergent,487.0,02/28/12,36315,82870,310297,673028,1114304,1903563,https://images.gr-assets.com/books/1328559506s/13335037.jpg,"Divergent (Divergent, #1)",13155899,2216814,101023,['Veronica Roth']
12,12,"['Anne Frank', 'Eleanor Roosevelt', 'B.M. Mooyaart-Doubleday']",4.1,48855,15,710,"Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit. In 1942, with the Nazis occupying Holland, a thirteen-year-old Jewish girl and her family fled their home in Amsterdam and went into hiding. For the next two years, until their whereabouts were betrayed to the Gestapo, the Franks and another family lived cloistered in the “Secret Annexe” of an old office building. Cut off from the outside world, they faced hunger, boredom, the constant cruelties of living in confined quarters, and the ever-present threat of discovery and death. In her diary Anne Frank recorded vivid impressions of her experiences during this period. By turns thoughtful, moving, and surprisingly humorous, her account offers a fascinating commentary on human courage and frailty and a compelling self-portrait of a sensitive and spirited young woman whose promise was tragically cut short.--back cover","['nonfiction', 'classics', 'history', 'biography', 'memoir']",48855,https://images.gr-assets.com/books/1358276407m/48855.jpg,553296981,9780553296980.0,eng,1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,283.0,07/28/93,45225,91270,355756,656870,875372,1972666,https://images.gr-assets.com/books/1358276407s/48855.jpg,The Diary of a Young Girl,3532896,2024493,20825,"['Anne Frank', 'Eleanor Roosevelt', 'B.M. Mooyaart-Doubleday']"
13,13,"['Stieg Larsson', 'Reg Keeland']",4.11,2429135,16,274,"Harriet Vanger, a scion of one of Sweden’s wealthiest families disappeared over forty years ago. All these years later, her aged uncle continues to seek the truth. He hires Mikael Blomkvist, a crusading journalist recently trapped by a libel conviction, to investigate. He is aided by the pierced and tattooed punk prodigy Lisbeth Salander. Together they tap into a vein of unfathomable iniquity and astonishing corruption.An international publishing sensation, Stieg Larsson’s The Girl with the Dragon Tattoo combines murder mystery, family saga, love story, and financial intrigue into one satisfyingly complex and entertainingly atmospheric novel.Alternate Cover Edition ISBN 0307269752 (ISBN13: 9780307269751)","['fiction', 'mystery', 'suspense', 'contemporary', 'thriller', 'crime']",2429135,https://images.gr-assets.com/books/1327868566m/2429135.jpg,307269752,9780307269750.0,eng,2005.0,Män som hatar kvinnor,465.0,09/16/08,54835,86051,285413,667485,836050,1808403,https://images.gr-assets.com/books/1327868566s/2429135.jpg,"The Girl with the Dragon Tattoo (Millennium, #1)",1708725,1929834,62543,"['Stieg Larsson', 'Reg Keeland']"
14,14,['Suzanne Collins'],4.3,6148028,17,201,"SPARKS ARE IGNITING.FLAMES ARE SPREADING.AND THE CAPITAL WANTS REVENGE.Against all odds, Katniss Everdeen has survived the Hunger Games. She and fellow District 12 tribute Peeta Mellark are miraculously still alive. Katniss should be relieved, happy even. Yet nothing is the way Katniss wishes it to be. Gale holds her at an icy distance. Peeta has turned his back on her completely. And there are whispers of a rebellion against the Capitol - a rebellion that Katniss and Peeta may have helped create.Much to her shock, Katniss has fueled an unrest that she's afraid she cannot stop. And what scares her even more is that she's not entirely convinced she should try. As time draws near for Katniss and Peeta to visit the districts on the Capitol's cruel Victory Tour, the stakes are higher than ever. If they can't prove, without a shadow of a doubt, that they are lost in their love for each other, the consequences will be horrifying. Katniss is about to be tested as never before.","['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",6148028,https://images.gr-assets.com/books/1358273780m/6148028.jpg,439023491,9780439023500.0,eng,2009.0,Catching Fire,391.0,09/01/09,10492,48030,262010,687238,980309,1831039,https://images.gr-assets.com/books/1358273780s/6148028.jpg,"Catching Fire (The Hunger Games, #2)",6171458,1988079,88538,['Suzanne Collins']
15,15,"['J.K. Rowling', 'Mary GrandPré', 'Rufus Beck']",4.53,5,18,376,"Harry Potter's third year at Hogwarts is full of new dangers. A convicted murderer, Sirius Black, has broken out of Azkaban prison, and it seems he's after Harry. Now Hogwarts is being patrolled by the dementors, the Azkaban guards who are hunting Sirius. But Harry can't imagine that Sirius or, for that matter, the evil Lord Voldemort could be more frightening than the dementors themselves, who have the terrible power to fill anyone they come across with aching loneliness and despair. Meanwhile, life continues as usual at Hogwarts. A top-of-the-line broom takes Harry's success at Quidditch, the sport of the Wizarding world, to new heights. A cute fourth-year student catches his eye. And he becomes close with the new Defense of the Dark Arts teacher, who was a childhood friend of his father. Yet despite the relative safety of life at Hogwarts and the best efforts of the dementors, the threat of Sirius Black grows ever closer. But if Harry has learned anything from his education in wizardry, it is that things are often not what they seem. Tragic revelations, heartwarming surprises, and high-stakes magical adventures await the boy wizard in this funny and poignant third installment of the beloved series.--scholastic.com","['fantasy', 'young-adult', 'fiction', 'classics']",5,https://images.gr-assets.com/books/1499277281m/5.jpg,043965548X,9780439655480.0,eng,1999.0,Harry Potter and the Prisoner of Azkaban,435.0,05/01/04,6716,20413,166129,509447,1266670,1832823,https://images.gr-assets.com/books/1499277281s/5.jpg,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",2402163,1969375,36099,"['J.K. Rowling', 'Mary GrandPré', 'Rufus Beck']"
16,16,['Suzanne Collins'],4.03,7260188,20,239,"The final book in the ground-breaking HUNGER GAMES trilogy, this new foiled edition of MOCKINGJAY is available for a limited period of time. Against all odds, Katniss Everdeen has survived the Hunger Games twice. But now that she's made it out of the bloody arena alive, she's still not safe. The Capitol is angry. The Capitol wants revenge. Who do they think should pay for the unrest? Katniss. And what's worse, President Snow has made it clear that no one else is safe either. Not Katniss's family, not her friends, not the people of District 12.","['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']",7260188,https://images.gr-assets.com/books/1358275419m/7260188.jpg,439023513,9780439023510.0,eng,2010.0,Mockingjay,390.0,08/24/10,30144,110498,373060,618271,738775,1719760,https://images.gr-assets.com/books/1358275419s/7260188.jpg,"Mockingjay (The Hunger Games, #3)",8812783,1870748,96274,['Suzanne Collins']
17,17,"['J.K. Rowling', 'Mary GrandPré']",4.46,2,21,307,"There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named - a threat that neither the magical government nor the authorities at Hogwarts can stop.As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.His fate depends on them all.","['fantasy', 'young-adult', 'fiction', 'classics']",2,https://images.gr-assets.com/books/1387141547m/2.jpg,439358078,9780439358070.0,eng,2003.0,Harry Potter and the Order of the Phoenix,870.0,09/28/04,9528,31577,180210,494427,1124806,1735368,https://images.gr-assets.com/books/1387141547s/2.jpg,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2809203,1840548,28685,"['J.K. Rowling', 'Mary GrandPré']"
18,18,['Alice Sebold'],3.77,12232938,22,183,"""My name was Salmon, like the fish; first name, Susie. I was fourteen when I was murdered on December 6, 1973.""So begins the story of Susie Salmon, who is adjusting to her new home in heaven, a place that is not at all what she expected, even as she is watching life on earth continue without her -- her friends trading rumors about her disappearance, her killer trying to cover his tracks, her grief-stricken family unraveling. Out of unspeakable tragedy and loss, The Lovely Bones succeeds, miraculously, in building a tale filled with hope, humor, suspense, even joy.","['fiction', 'mystery', 'young-adult', 'contemporary', 'fantasy', 'crime']",12232938,https://images.gr-assets.com/books/1457810586m/12232938.jpg,316166685,9780316166680.0,eng,2002.0,The Lovely Bones,372.0,09/01/06,62777,131188,404699,583575,479323,1605173,https://images.gr-assets.com/books/1457810586s/12232938.jpg,The Lovely Bones,1145090,1661562,36642,['Alice Sebold']
19,19,"['J.K. Rowling', 'Mary GrandPré']",4.37,15881,23,398,"Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he’s packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike.And strike it does. For in Harry’s second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor and a spirit who haunts the girls’ bathroom. But then the real trouble begins – someone is turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possible be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects… Harry Potter himself!","['fantasy', 'young-adult', 'fiction', 'classics']",15881,https://images.gr-assets.com/books/1474169725m/15881.jpg,439064864,9780439064870.0,eng,1998.0,Harry Potter and the Chamber of Secrets,341.0,06/02/99,8253,42251,242345,548266,1065084,1779331,https://images.gr-assets.com/books/1474169725s/15881.jpg,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",6231171,1906199,34172,"['J.K. Rowling', 'Mary GrandPré']"
